index,question,answer
1,"Wah, this chicken rice damn shiok!","Wow, this chicken rice is really delicious!"
2,Can you pass me the soya sauce?,Can you pass me the soy sauce?
3,"Aiyo, the soup too salty lah.","Oh dear, the soup is too salty."
4,"Must stir the curry properly, okay?","You must stir the curry properly, okay?"
5,I think need more garlic for this dish.,I think we need more garlic for this dish.
6,"Eh, don't forget to preheat the oven hor.","Hey, don't forget to preheat the oven."
7,"This sambal belacan very spicy, careful ah.","This sambal belacan is very spicy, be careful."
8,Can you help me chop the onions?,Can you help me chop the onions?
9,"Wah, your laksa really power!","Wow, your laksa is really amazing!"
10,"Don't overcook the vegetables, later not nice.","Don't overcook the vegetables, they won't taste good."
11,"I need to buy more rice, running out liao.","I need to buy more rice, we're running out."
12,"Can you taste the soup, see if okay?",Can you taste the soup and see if it's okay?
13,Add some chilli padi if you want more kick.,Add some bird's eye chili if you want it spicier.
14,"This fish very fresh, where you buy one?","This fish is very fresh, where did you buy it?"
15,Don't forget to wash the rice before cooking.,Don't forget to wash the rice before cooking.
16,"I think need more salt, a bit bland.","I think it needs more salt, it's a bit bland."
17,Can you help me peel the prawns?,Can you help me peel the prawns?
18,"Wah, this char kway teow really got wok hei!","Wow, this char kway teow really has that wok hei!"
19,Don't forget to marinate the meat first.,Don't forget to marinate the meat first.
20,"This dessert very sweet, maybe cut down sugar.","This dessert is very sweet, maybe reduce the sugar."
21,Can you pass me the pepper?,Can you pass me the pepper?
22,"I think the chicken not cooked yet, still pink.","I think the chicken isn't cooked yet, it's still pink."
23,"Wah, your roti prata very crispy!","Wow, your roti prata is very crispy!"
24,Don't forget to add the pandan leaves.,Don't forget to add the pandan leaves.
25,"This sambal very shiok, where you learn to make?","This sambal is really delicious, where did you learn to make it?"
26,Can you help me cut the vegetables?,Can you help me cut the vegetables?
27,"Wah, this bak kut teh very flavourful!","Wow, this bak kut teh is very flavourful!"
28,Don't forget to soak the mushrooms first.,Don't forget to soak the mushrooms first.
29,"I think need more chilli, not spicy enough.","I think it needs more chili, it's not spicy enough."
30,Can you pass me the sugar?,Can you pass me the sugar?
31,"Wah, your nasi lemak very fragrant!","Wow, your nasi lemak is very fragrant!"
32,Don't forget to add the coconut milk.,Don't forget to add the coconut milk.
33,"This soup very nice, got a lot of ingredients.","This soup is very nice, it has a lot of ingredients."
34,Can you help me fry the eggs?,Can you help me fry the eggs?
35,"Wah, this satay very tender!","Wow, this satay is very tender!"
36,Don't forget to add the lemongrass.,Don't forget to add the lemongrass.
37,"I think need more ginger, not enough flavour.","I think it needs more ginger, it doesn't have enough flavour."
38,Can you pass me the vinegar?,Can you pass me the vinegar?
39,"Wah, your mee goreng very spicy!","Wow, your mee goreng is very spicy!"
40,Don't forget to add the tamarind paste.,Don't forget to add the tamarind paste.
41,"This dessert very creamy, very nice.","This dessert is very creamy, very nice."
42,Can you help me steam the fish?,Can you help me steam the fish?
43,"Wah, this rendang very rich!","Wow, this rendang is very rich!"
44,Don't forget to add the kaffir lime leaves.,Don't forget to add the kaffir lime leaves.
45,"I think need more fish sauce, not salty enough.","I think it needs more fish sauce, it's not salty enough."
46,Can you pass me the oil?,Can you pass me the oil?
47,"Wah, your hokkien mee very tasty!","Wow, your hokkien mee is very tasty!"
48,Don't forget to add the belacan.,Don't forget to add the belacan.
49,"This dish very colourful, looks very appetising.","This dish is very colourful, it looks very appetising."
50,Can you help me grill the chicken?,Can you help me grill the chicken?
51,"Wah, this otah very fragrant!","Wow, this otah is very fragrant!"
52,Don't forget to add the turmeric.,Don't forget to add the turmeric.
53,"I think need more lime juice, not tangy enough.","I think it needs more lime juice, it's not tangy enough."
54,Can you pass me the salt?,Can you pass me the salt?
55,"Wah, your chicken curry very thick!","Wow, your chicken curry is very thick!"
56,Don't forget to add the coriander leaves.,Don't forget to add the coriander leaves.
57,"This dish very spicy, but very shiok.","This dish is very spicy, but very delicious."
58,Can you help me boil the noodles?,Can you help me boil the noodles?
59,"Wah, this beef rendang very tender!","Wow, this beef rendang is very tender!"
60,Don't forget to add the galangal.,Don't forget to add the galangal.
61,"I think need more coconut milk, not creamy enough.","I think it needs more coconut milk, it's not creamy enough."
62,Can you pass me the chilli sauce?,Can you pass me the chili sauce?
63,"Wah, your fried rice very fragrant!","Wow, your fried rice is very fragrant!"
64,Don't forget to add the sesame oil.,Don't forget to add the sesame oil.
65,"This dish very umami, very nice.","This dish is very umami, very nice."
66,Can you help me bake the cake?,Can you help me bake the cake?
67,"Wah, this ayam penyet very crispy!","Wow, this ayam penyet is very crispy!"
68,Don't forget to add the shallots.,Don't forget to add the shallots.
69,"I think need more soy sauce, not salty enough.","I think it needs more soy sauce, it's not salty enough."
70,Can you pass me the flour?,Can you pass me the flour?
71,"Wah, your char siew very tender!","Wow, your char siew is very tender!"
72,Don't forget to add the garlic.,Don't forget to add the garlic.
73,"This dish very aromatic, smells very good.","This dish is very aromatic, it smells very good."
74,Can you help me make the sauce?,Can you help me make the sauce?
75,"Wah, this ikan bakar very flavourful!","Wow, this ikan bakar is very flavourful!"
76,Don't forget to add the lime zest.,Don't forget to add the lime zest.
77,"I think need more sugar, not sweet enough.","I think it needs more sugar, it's not sweet enough."
78,Can you pass me the butter?,Can you pass me the butter?
79,"Wah, your mee siam very tangy!","Wow, your mee siam is very tangy!"
80,Don't forget to add the fish sauce.,Don't forget to add the fish sauce.
81,"This dish very rich, very satisfying.","This dish is very rich, very satisfying."
82,Can you help me roast the duck?,Can you help me roast the duck?
83,"Wah, this nasi goreng very tasty!","Wow, this nasi goreng is very tasty!"
84,Don't forget to add the basil leaves.,Don't forget to add the basil leaves.
85,"I think need more vinegar, not tangy enough.","I think it needs more vinegar, it's not tangy enough."
86,Can you pass me the water?,Can you pass me the water?
87,"Wah, your sambal stingray very spicy!","Wow, your sambal stingray is very spicy!"
88,Don't forget to add the mint leaves.,Don't forget to add the mint leaves.
89,"This dish very creamy, very nice.","This dish is very creamy, very nice."
90,Can you help me fry the tofu?,Can you help me fry the tofu?
91,"Wah, this curry puff very crispy!","Wow, this curry puff is very crispy!"
92,Don't forget to add the cumin.,Don't forget to add the cumin.
93,"I think need more pepper, not spicy enough.","I think it needs more pepper, it's not spicy enough."
94,Can you pass me the milk?,Can you pass me the milk?
95,"Wah, your bak chor mee very flavourful!","Wow, your bak chor mee is very flavourful!"
96,Don't forget to add the star anise.,Don't forget to add the star anise.
97,"This dish very hearty, very comforting.","This dish is very hearty, very comforting."
98,Can you help me grill the fish?,Can you help me grill the fish?
99,"Wah, this rojak very tangy!","Wow, this rojak is very tangy!"
100,Don't forget to add the cinnamon.,Don't forget to add the cinnamon.
101,"Wah, this exam damn hard leh.","Wow, this exam is really difficult."
102,I need to chiong my homework tonight.,I need to rush my homework tonight.
103,You got study for the test or not?,Did you study for the test?
104,I think I confirm fail this paper.,I think I will definitely fail this paper.
105,Can you lend me your notes ah?,Can you lend me your notes?
106,I need to mug for my exams.,I need to study hard for my exams.
107,"Don't disturb me, I need to focus.","Don't disturb me, I need to focus."
108,I very scared I cannot pass.,I'm very scared I can't pass.
109,You got any tips for studying ah?,Do you have any tips for studying?
110,I need to go library to study.,I need to go to the library to study.
111,This subject very chim leh.,This subject is very difficult.
112,"I cannot tahan already, need a break.","I can't take it anymore, I need a break."
113,You want to study together later?,Do you want to study together later?
114,I need to revise my notes.,I need to revise my notes.
115,I think I need tuition for this subject.,I think I need tutoring for this subject.
116,I always last minute study one.,I always study at the last minute.
117,I hope the exam not too tough.,I hope the exam isn't too tough.
118,I need to finish this assignment by tonight.,I need to finish this assignment by tonight.
119,I don't understand this chapter at all.,I don't understand this chapter at all.
120,Can you explain this to me?,Can you explain this to me?
121,I need to wake up early to study tomorrow.,I need to wake up early to study tomorrow.
122,I think I need more practice.,I think I need more practice.
123,I always study until very late.,I always study until very late.
124,I need to buy more stationery for my notes.,I need to buy more stationery for my notes.
125,I cannot concentrate at home.,I can't concentrate at home.
126,I need to find a quiet place to study.,I need to find a quiet place to study.
127,I think I need to ask the teacher for help.,I think I need to ask the teacher for help.
128,I need to finish reading this book by tonight.,I need to finish reading this book by tonight.
129,I need to make a study schedule.,I need to make a study schedule.
130,I need to improve my grades.,I need to improve my grades.
131,I need to focus more on my studies.,I need to focus more on my studies.
132,I need to cut down on distractions.,I need to cut down on distractions.
133,I need to get enough sleep to study well.,I need to get enough sleep to study well.
134,I need to eat well to have energy to study.,I need to eat well to have energy to study.
135,I need to stay motivated to study.,I need to stay motivated to study.
136,I need to set goals for my studies.,I need to set goals for my studies.
137,I need to manage my time better.,I need to manage my time better.
138,I need to take regular breaks while studying.,I need to take regular breaks while studying.
139,I need to stay positive about my studies.,I need to stay positive about my studies.
140,I need to ask questions if I don't understand.,I need to ask questions if I don't understand.
141,I need to review my notes regularly.,I need to review my notes regularly.
142,I need to practice past exam papers.,I need to practice past exam papers.
143,I need to join a study group.,I need to join a study group.
144,I need to stay organized with my study materials.,I need to stay organized with my study materials.
145,I need to avoid procrastination.,I need to avoid procrastination.
146,I need to stay disciplined with my study routine.,I need to stay disciplined with my study routine.
147,I need to find a study method that works for me.,I need to find a study method that works for me.
148,I need to stay focused during study sessions.,I need to stay focused during study sessions.
149,I need to balance my studies with other activities.,I need to balance my studies with other activities.
150,I need to stay calm during exams.,I need to stay calm during exams.
151,I need to stay confident in my abilities.,I need to stay confident in my abilities.
152,I need to stay healthy to study well.,I need to stay healthy to study well.
153,I need to stay hydrated while studying.,I need to stay hydrated while studying.
154,I need to stay away from distractions.,I need to stay away from distractions.
155,I need to stay focused on my goals.,I need to stay focused on my goals.
156,I need to stay positive about my progress.,I need to stay positive about my progress.
157,I need to stay motivated to achieve my goals.,I need to stay motivated to achieve my goals.
158,I need to stay disciplined with my study habits.,I need to stay disciplined with my study habits.
159,I need to stay organized with my study schedule.,I need to stay organized with my study schedule.
160,I need to stay focused on my studies.,I need to stay focused on my studies.
161,I need to stay positive about my exams.,I need to stay positive about my exams.
162,I need to stay motivated to study hard.,I need to stay motivated to study hard.
163,I need to stay disciplined with my study routine.,I need to stay disciplined with my study routine.
164,I need to stay organized with my study materials.,I need to stay organized with my study materials.
165,I need to stay focused during study sessions.,I need to stay focused during study sessions.
166,I need to stay positive about my progress.,I need to stay positive about my progress.
167,I need to stay motivated to achieve my goals.,I need to stay motivated to achieve my goals.
168,I need to stay disciplined with my study habits.,I need to stay disciplined with my study habits.
169,I need to stay organized with my study schedule.,I need to stay organized with my study schedule.
170,I need to stay focused on my studies.,I need to stay focused on my studies.
171,I need to stay positive about my exams.,I need to stay positive about my exams.
172,I need to stay motivated to study hard.,I need to stay motivated to study hard.
173,I need to stay disciplined with my study routine.,I need to stay disciplined with my study routine.
174,I need to stay organized with my study materials.,I need to stay organized with my study materials.
175,I need to stay focused during study sessions.,I need to stay focused during study sessions.
176,I need to stay positive about my progress.,I need to stay positive about my progress.
